Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","2","Afghanistan","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","27722.276","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","2","Afghanistan","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","37171.921","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","49779.471","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","57792.518","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","3","Albanie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","3002.678","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","3","Albanie","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","2882.74","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","4","Algérie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","34730.608","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","4","Algérie","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","42228.408","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","79","Allemagne","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","81065.752","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","79","Allemagne","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","83124.418","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","6","Andorre","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","83.862","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","6","Andorre","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","77.006","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","7","Angola","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","21695.634","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","7","Angola","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","30809.787","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","258","Anguilla","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","13.063","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","258","Anguilla","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","14.731","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","8","Antigua-et-Barbuda","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","85.397","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","8","Antigua-et-Barbuda","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","96.286","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","151","Antilles néerlandaises (ex)","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","238.47","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées",""
"OA","Séries temporelles annuelles","151","Antilles néerlandaises (ex)","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","277.483","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées",""
"OA","Séries temporelles annuelles","194","Arabie saoudite","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","25888.541","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","194","Arabie saoudite","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","33702.756","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","9","Argentine","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","40080.16","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","9","Argentine","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","44361.15","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","1","Arménie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","2907.618","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","1","Arménie","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","2951.745","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","22","Aruba","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","101.358","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","22","Aruba","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","105.845","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","10","Australie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","21332.282","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","10","Australie","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","24898.152","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","11","Autriche","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","8341.532","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","11","Autriche","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","8891.388","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","52","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","8821.873","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","52","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","9949.537","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","12","Bahamas","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","343.681","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","12","Bahamas","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","385.637","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","13","Bahreïn","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1114.641","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","13","Bahreïn","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","1569.446","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","16","Bangladesh","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","144304.167","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","16","Bangladesh","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","161376.708","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","14","Barbade","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","279.946","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","14","Barbade","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","286.641","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","57","Bélarus","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","9452.855","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","57","Bélarus","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","9452.617","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","255","Belgique","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","10778.758","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","255","Belgique","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","11482.178","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","23","Belize","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","306.823","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","23","Belize","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","383.071","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","53","Bénin","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","8696.921","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","53","Bénin","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","11485.044","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","17","Bermudes","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","65.931","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","17","Bermudes","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","62.756","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","18","Bhoutan","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","671.613","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","18","Bhoutan","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","754.388","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","19","Bolivie (État plurinational de)","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","9721.454","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","19","Bolivie (État plurinational de)","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","11353.142","X","Sources internationales sûres",""
