Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","1849","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","44.73","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2018","2018","Kcal/personne/jour","191","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","10.79","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2420","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","48.33","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2018","2018","Kcal/personne/jour","479","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","36.03","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2357","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","54","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2018","2018","Kcal/personne/jour","1003","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","61.75","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2932","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","67.1","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2018","2018","Kcal/personne/jour","390","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","24.73","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2468","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","41.37","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2018","2018","Kcal/personne/jour","1086","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","64.03","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","7","Angola","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2177","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","7","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","36.74","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","7","Angola","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2018","2018","Kcal/personne/jour","208","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","7","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","16.31","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","1705","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","28.45","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2018","2018","Kcal/personne/jour","740","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","51.74","Fc","Donnée calculée"
