Zone,Disponibilité alimentaire (Kcal/personne),Disponibilité de protéines en quantité (g/personne),proportion_protéines %,croissance_population %,Stabilité,PIB
Afghanistan,744600.0,20264.8,19.43443804034582,34.08682966723223,-2.75,2190.2
Afrique du Sud,1058135.0,30791.4,42.70981507823613,16.097091509871607,-0.28,12630.8
Albanie,1226400.0,42248.75,53.34773218142549,-3.9943676944381017,0.38,13601.3
Algérie,1212530.0,33517.95,26.930197103343133,21.588450164765316,-0.79,11479.5
Allemagne,1297210.0,38471.0,60.749525616698286,2.539501514770377,0.6,53660.0
Angola,870525.0,19363.25,30.74458058435438,42.009157234123705,-0.32,6933.5
Antigua-et-Barbuda,892425.0,29269.35,64.52176081805712,12.751033408667748,0.73,21115.8
Arabie saoudite,1207055.0,31733.1,37.6581550494594,30.184068696648453,-0.52,47596.7
Argentine,1207055.0,38971.049999999996,64.67172426711623,10.681070135448554,0.02,22745.9
Arménie,1093905.0,34441.4,48.05002119542179,1.5176340220758007,-0.42,12715.0
Australie,1237715.0,38664.450000000004,66.74218823751534,16.715839402460546,0.98,49576.0
Autriche,1348675.0,39828.8,60.32807917888563,6.591786736537145,0.92,55687.2
Azerbaïdjan,1149750.0,34463.3,34.45244651556874,12.782591633318694,-0.7,14209.6
Bahamas,969075.0,29455.5,64.93184634448575,12.207832263057883,0.87,35500.5
Bangladesh,935860.0,22166.45,20.681705911411164,11.830941098187434,-1.03,4441.4
Barbade,1078575.0,32371.85,57.526214905851845,2.3915326527258807,0.92,15674.9
Belgique,1375685.0,36452.55,58.65625312906778,6.525983791453524,0.41,51246.0
Belize,1012875.0,26254.45,42.84721256777422,24.85080975024688,0.02,7119.1
Bolivie (État plurinational de),880380.0,26732.600000000002,48.416166029492075,16.784402826984525,-0.24,8655.5
Bosnie-Herzégovine,1207055.0,36069.299999999996,37.42157458004453,-11.462837925125799,-0.39,14419.6
Botswana,854830.0,24049.85,42.52542115647291,17.66663760760769,0.98,17634.1
Brésil,1204865.0,34923.200000000004,56.19774247491639,9.081356103468686,-0.36,14596.2
